ZIP,FUEL TYPE,reg_cnt
80001,DIESEL,0
80001,FLEXIBLE,0
80001,GAS,70
80001,,0
80002,COMPRESSED NATURAL GAS,0
80002,CONVERTIBLE,10
80002,DIESEL,820
80002,ELECTRIC VEHICLE,10
80002,FLEXIBLE,1310
80002,GAS,16600
80002,HYBRID ELECTRIC VEHICLE,240
80002,PLUG IN HYBRID ELECTRIC VEHICLE,10
80002,,130
80003,COMPRESSED NATURAL GAS,0
80003,CONVERTIBLE,10
80003,DIESEL,980
80003,ELECTRIC VEHICLE,40
80003,FLEXIBLE,2110
80003,GAS,29480
80003,HYBRID ELECTRIC VEHICLE,370
80003,PLUG IN HYBRID ELECTRIC VEHICLE,30
80003,,230
80004,COMPRESSED NATURAL GAS,0
80004,CONVERTIBLE,0
80004,DIESEL,960
80004,ELECTRIC VEHICLE,30
80004,FLEXIBLE,1940
80004,GAS,29320
80004,HYBRID ELECTRIC VEHICLE,560
80004,PLUG IN HYBRID ELECTRIC VEHICLE,40
80004,,200
80005,CONVERTIBLE,0
80005,DIESEL,1000
80005,ELECTRIC VEHICLE,40
80005,FLEXIBLE,1850
80005,GAS,23830
80005,HYBRID ELECTRIC VEHICLE,500
80005,PLUG IN HYBRID ELECTRIC VEHICLE,30
80005,,170
80006,DIESEL,0
80006,GAS,10
80006,PLUG IN HYBRID ELECTRIC VEHICLE,0
80007,CONVERTIBLE,0
80007,DIESEL,470
80007,ELECTRIC VEHICLE,30
80007,FLEXIBLE,950
80007,GAS,10300
80007,HYBRID ELECTRIC VEHICLE,300
80007,PLUG IN HYBRID ELECTRIC VEHICLE,30
80007,,50
80010,COMPRESSED NATURAL GAS,0
80010,CONVERTIBLE,10
80010,DIESEL,430
80010,ELECTRIC VEHICLE,10
80010,FLEXIBLE,1790
80010,GAS,27000
80010,HYBRID ELECTRIC VEHICLE,290
80010,PLUG IN HYBRID ELECTRIC VEHICLE,0
80010,,120
80011,COMPRESSED NATURAL GAS,0
80011,CONVERTIBLE,20
80011,DIESEL,1100
80011,ELECTRIC VEHICLE,10
80011,FLEXIBLE,3560
80011,GAS,39860
80011,HYBRID ELECTRIC VEHICLE,440
80011,PLUG IN HYBRID ELECTRIC VEHICLE,10
80011,,340
80012,COMPRESSED NATURAL GAS,0
80012,CONVERTIBLE,20
80012,DIESEL,480
80012,ELECTRIC VEHICLE,20
80012,FLEXIBLE,2620
80012,GAS,36090
80012,HYBRID ELECTRIC VEHICLE,600
80012,PLUG IN HYBRID ELECTRIC VEHICLE,30
80012,,120
80013,CONVERTIBLE,10
80013,DIESEL,1200
80013,ELECTRIC VEHICLE,50
80013,FLEXIBLE,4150
80013,GAS,55160
80013,HYBRID ELECTRIC VEHICLE,880
80013,PLUG IN HYBRID ELECTRIC VEHICLE,40
80013,PROPANE,0
80013,,170
80014,CONVERTIBLE,10
80014,DIESEL,440
